temperatura_mel,viscosidade_mel,atividade_agua,densidade_mel,peso_target,desvio_peso,precisao_balanca,velocidade_envase,pressao_vedacao,tempo_exposicao_ar,temperatura_ambiente,umidade_relativa,experiencia_operador,turno_trabalho,fadiga_operador,limpeza_equipamento,manutencao_recente,tipo_enchedora,calibracao_ok,tipo_embalagem,qualidade_rotulo,adesao_rotulo,teste_vedacao,risco
36.31,391957.4,0.631,1.444,495,-0.06,0.53,75.1,15.97,10.3,23.6,64.2,3.2,3,5,3,0.7,2,0,1,4.6,1,0,2
29.97,518536.3,0.647,1.383,995,-1.66,1.8,27.5,25.68,40.7,20.9,66.6,8.5,2,3,5,37.0,2,1,1,3.4,1,1,1
37.75,366455.8,0.556,1.444,245,0.37,1.2,54.6,24.29,6.2,27.0,45.2,0.4,3,5,3,42.5,2,0,2,4.3,1,1,1
33.12,250768.0,0.647,1.403,995,-1.56,0.6,72.5,22.54,6.8,21.8,62.3,0.5,2,2,4,12.0,1,1,1,4.6,1,1,0
35.95,380218.0,0.569,1.455,245,0.5,0.38,37.2,25.79,35.6,26.1,68.7,2.2,1,1,4,2.2,2,1,2,1.9,0,1,0
39.38,362198.9,0.571,1.383,995,-0.21,0.9,119.6,32.04,5.2,24.6,67.8,1.3,3,3,3,8.4,2,1,2,4.4,1,1,0
31.58,453965.9,0.559,1.402,495,-1.23,0.23,41.8,24.71,13.8,25.2,53.9,1.6,1,1,1,17.1,2,1,2,5.0,1,1,1
37.63,711289.2,0.643,1.386,995,1.29,0.56,79.8,21.82,12.3,22.0,60.8,0.6,2,2,1,8.1,1,1,3,4.7,1,1,1
33.81,222001.7,0.641,1.433,995,-2.6,0.96,113.7,28.92,7.7,26.3,56.6,3.9,1,3,2,3.4,2,1,1,4.6,1,1,1
35.12,759357.5,0.629,1.452,995,0.16,1.93,31.5,27.45,15.1,19.2,60.1,2.7,1,1,4,5.7,1,1,2,4.8,1,1,0
40.63,981931.1,0.595,1.429,245,4.33,0.47,101.0,29.69,12.0,20.2,47.4,0.6,3,5,4,6.2,1,1,2,5.0,1,1,1
37.66,416703.6,0.548,1.453,245,-5.26,0.68,93.1,19.52,23.1,25.0,56.3,1.3,1,2,2,3.8,1,1,1,4.7,1,1,1
39.86,498421.6,0.597,1.439,495,-1.23,0.47,71.3,24.14,10.7,19.8,45.7,1.2,2,4,3,1.0,2,1,1,5.0,1,1,0
34.31,508415.6,0.573,1.408,245,-2.02,1.04,32.2,29.25,18.3,26.1,40.2,5.0,2,2,3,4.0,2,1,1,3.6,1,1,0
28.92,399720.4,0.604,1.407,995,0.32,1.57,91.5,23.73,11.7,23.1,39.1,6.0,1,1,3,4.0,3,1,2,5.0,1,1,1
37.71,512829.4,0.575,1.428,995,-4.22,0.21,33.8,30.41,5.0,21.8,41.4,1.3,3,3,4,11.4,1,1,2,4.2,1,1,0
31.42,466799.4,0.595,1.407,245,-0.46,1.93,62.8,31.95,11.9,25.4,51.3,1.1,2,2,1,7.4,1,1,2,4.8,1,1,1
34.49,673690.0,0.583,1.423,995,-0.29,1.6,110.3,25.28,9.7,21.9,80.0,2.4,3,5,4,3.2,2,1,1,3.0,0,1,0
36.39,392128.0,0.576,1.407,495,-0.52,0.11,64.5,26.25,9.0,21.3,64.5,4.9,3,4,2,10.4,1,1,2,4.6,1,1,1
36.75,485295.5,0.615,1.405,495,-1.83,1.2,50.8,33.47,14.7,20.7,31.0,3.7,3,3,3,1.5,2,1,1,4.7,1,1,0
36.17,437967.0,0.616,1.434,245,1.16,0.35,117.8,24.56,5.9,23.4,56.9,0.6,1,1,1,1.3,3,1,1,4.2,1,1,1
26.52,323207.4,0.603,1.437,245,1.86,1.8,105.3,23.26,21.8,21.7,48.2,0.1,3,4,4,3.7,2,1,1,4.6,1,1,1
47.59,510859.8,0.572,1.379,495,0.09,1.53,93.3,26.87,9.0,24.9,44.6,0.8,1,2,4,2.7,3,1,3,5.0,1,1,1
40.05,384897.9,0.624,1.386,495,4.99,1.4,101.5,23.34,36.5,25.1,66.2,0.1,2,2,4,3.9,1,1,1,3.2,1,1,0
40.66,530619.4,0.549,1.407,245,0.68,0.33,21.8,25.58,8.1,19.7,48.2,0.8,1,1,5,16.5,3,1,2,4.9,1,1,0
42.07,366750.8,0.627,1.424,245,-0.79,0.72,22.1,29.95,26.5,28.1,53.3,0.4,2,3,3,1.2,3,1,2,4.8,1,1,1
46.96,932968.2,0.562,1.396,245,0.92,1.68,85.5,33.74,6.9,20.2,68.1,0.7,1,3,3,3.0,2,1,2,3.2,0,1,1
38.4,404054.1,0.639,1.415,995,-0.65,1.01,96.8,36.67,19.9,20.6,76.0,2.3,2,4,4,25.8,2,1,2,3.6,0,0,2
39.69,573343.7,0.656,1.406,245,-1.21,1.35,76.4,25.69,16.2,25.1,63.0,0.6,2,3,3,7.3,3,1,1,5.0,1,1,0
37.52,393792.9,0.614,1.429,245,-2.14,1.13,43.2,26.11,33.3,18.7,49.2,5.0,1,1,4,8.7,2,1,1,4.1,1,1,0
35.21,426811.2,0.587,1.41,995,0.89,1.54,53.9,29.75,5.8,23.7,52.6,0.8,2,4,3,4.2,2,1,1,4.2,1,1,0
39.79,455560.9,0.645,1.423,495,-0.64,1.71,56.3,15.46,28.7,23.5,60.7,4.1,3,5,3,0.5,3,1,2,5.0,1,0,2
35.71,349594.8,0.615,1.421,245,2.43,0.65,94.9,17.5,56.3,22.7,46.2,6.8,2,3,3,5.9,2,0,1,3.7,1,0,1
36.88,476605.2,0.568,1.383,995,1.95,1.88,69.2,27.17,23.1,22.2,65.9,1.1,3,4,3,2.0,1,0,2,3.1,1,1,1
34.69,327535.5,0.612,1.442,245,-1.65,1.67,94.0,23.32,7.3,23.8,56.6,4.1,3,5,5,13.4,2,1,1,4.1,1,1,0
42.26,511279.2,0.604,1.411,245,-0.56,0.43,90.7,24.86,23.7,23.6,63.9,0.4,1,2,2,4.0,3,1,1,4.7,1,1,2
31.06,556663.6,0.58,1.403,995,0.61,0.83,70.7,27.14,29.5,24.8,52.5,1.0,2,4,5,3.8,3,1,1,5.0,1,1,2
36.58,819594.9,0.672,1.423,495,-4.06,0.24,30.6,21.85,32.3,20.9,48.9,2.1,3,3,4,1.3,2,0,1,5.0,1,1,1
34.68,420378.6,0.553,1.414,995,-0.83,1.18,53.2,21.61,11.9,22.0,57.2,10.2,3,5,4,12.1,2,1,2,4.8,1,1,0
43.48,475083.6,0.571,1.392,245,-0.02,1.83,81.0,21.56,16.9,20.7,42.7,5.7,2,3,2,0.2,3,1,1,4.6,1,1,2
37.73,510128.1,0.621,1.419,495,-0.81,0.87,108.0,28.75,19.7,23.8,51.0,0.7,3,5,4,3.6,3,1,2,4.6,1,1,0
39.25,330361.9,0.597,1.41,995,-0.58,0.49,96.9,23.47,13.3,21.9,55.5,0.1,2,4,5,0.9,2,1,3,5.0,1,1,0
35.45,516732.8,0.613,1.426,995,-0.26,0.73,90.1,27.98,25.1,21.2,53.4,1.0,1,3,4,12.6,2,1,1,4.7,1,1,0
41.22,464680.1,0.58,1.393,495,1.25,0.94,94.2,17.35,8.9,22.6,51.8,1.9,1,1,3,0.6,3,1,2,5.0,1,0,2
32.62,817821.9,0.58,1.418,245,-7.86,1.41,86.1,24.45,63.0,21.8,55.7,7.2,2,3,4,20.0,1,1,1,3.6,1,1,1
33.94,486413.2,0.534,1.441,995,0.42,1.16,25.5,22.61,58.6,17.4,56.1,1.9,3,4,2,1.4,3,1,2,4.2,1,1,1
36.36,564166.3,0.595,1.388,995,-0.05,0.97,91.0,26.39,10.0,21.5,54.0,2.8,2,2,4,0.1,3,1,2,4.4,1,1,0
30.17,1084336.3,0.627,1.41,995,0.88,1.86,116.2,17.17,15.7,17.8,51.3,9.6,1,1,3,3.3,3,1,3,5.0,1,0,2
34.49,383755.2,0.64,1.451,245,-0.36,0.59,54.7,27.62,46.6,26.7,62.1,2.8,3,5,1,7.6,2,1,2,5.0,1,1,1
36.69,470200.4,0.591,1.403,995,-2.53,1.72,101.7,26.93,5.2,23.5,34.0,4.8,1,2,2,13.9,1,1,1,4.8,1,1,1
35.12,657892.9,0.639,1.408,495,0.79,1.86,86.0,20.11,9.6,22.1,71.4,0.4,2,3,4,11.7,2,1,1,3.5,0,1,0
34.83,391030.8,0.591,1.406,495,-0.82,1.52,24.8,26.22,49.5,23.3,70.9,4.5,2,3,4,5.2,1,0,2,3.8,0,1,1
36.99,795824.8,0.573,1.408,995,1.9,1.88,87.7,17.41,9.4,22.7,45.1,4.3,2,2,4,1.5,2,1,2,5.0,1,0,2
29.72,421183.7,0.573,1.442,995,-1.28,1.52,21.3,24.29,20.5,21.3,48.4,3.0,3,5,3,1.9,2,1,1,5.0,1,1,1
47.0,331797.2,0.541,1.418,495,-1.37,0.43,74.7,22.74,5.4,28.2,36.9,8.0,1,2,2,5.9,3,1,1,4.2,1,1,2
40.7,313585.1,0.618,1.409,495,-0.8,1.05,96.5,24.65,9.6,21.2,62.6,5.2,1,2,3,3.5,2,1,1,5.0,1,1,0
33.43,912683.4,0.609,1.423,995,-0.35,0.35,94.2,18.1,19.6,26.2,52.1,6.9,1,1,4,34.9,2,1,2,3.6,1,1,0
36.11,528533.2,0.559,1.367,495,1.33,2.0,27.5,30.53,8.8,17.8,44.5,0.1,1,2,5,7.2,3,1,1,5.0,1,1,0
40.23,467826.6,0.596,1.418,245,-0.53,1.73,66.4,21.53,45.2,18.4,61.4,11.9,2,4,4,12.0,3,1,1,4.9,1,1,0
34.16,537471.1,0.6,1.422,245,0.01,1.19,33.7,33.64,46.6,20.8,34.8,3.3,1,1,4,0.3,3,1,2,5.0,1,1,0
42.21,828197.5,0.623,1.432,245,0.74,0.46,60.1,24.35,7.0,24.7,45.1,0.7,3,4,3,52.5,3,1,1,5.0,1,1,2
39.02,623132.3,0.62,1.421,245,1.48,0.68,95.9,19.51,19.5,23.1,46.8,1.3,1,2,3,15.0,2,0,2,5.0,1,1,0
41.1,477216.5,0.607,1.414,495,-1.01,1.91,41.0,28.28,8.7,25.1,50.0,2.0,1,3,5,2.5,1,1,2,5.0,1,1,0
37.69,647410.2,0.631,1.406,245,-2.5,1.77,39.7,23.54,49.1,24.5,42.3,0.8,2,3,2,7.4,2,1,1,4.7,1,1,1
41.11,1009251.7,0.68,1.411,995,-1.39,1.49,104.0,20.73,9.1,23.3,42.3,0.7,1,1,2,1.9,2,1,2,4.7,1,1,2
29.6,377536.0,0.658,1.408,995,-1.35,1.73,101.7,21.33,13.9,18.5,54.4,0.2,2,2,3,28.2,2,1,1,4.8,1,1,2
46.17,429664.5,0.57,1.436,245,-0.98,0.67,65.8,24.16,5.7,23.6,63.2,0.6,1,2,2,5.3,2,1,1,5.0,1,1,1
35.42,540931.5,0.585,1.398,995,2.43,0.82,28.8,22.08,11.3,23.1,56.0,1.6,1,3,4,3.3,1,0,1,5.0,1,1,0
33.06,710377.2,0.6,1.451,245,-0.37,0.43,56.1,21.93,11.7,23.6,56.4,1.9,3,4,4,9.0,3,1,1,5.0,1,1,0
32.34,851416.6,0.578,1.402,245,0.05,0.41,116.0,14.9,33.6,22.2,65.4,4.3,1,1,1,8.8,3,1,2,5.0,1,0,2
34.65,376612.2,0.623,1.422,245,1.89,0.55,82.8,23.46,9.5,26.6,58.9,1.8,2,2,4,4.4,2,1,1,4.8,1,1,0
43.99,437114.6,0.593,1.468,995,-4.85,1.84,53.5,23.85,50.6,29.6,60.6,2.3,1,1,2,9.8,1,1,2,4.5,1,1,2
32.37,405416.5,0.65,1.398,995,0.03,1.37,48.5,20.38,55.6,23.6,59.8,0.8,2,3,4,9.5,3,1,1,4.5,1,1,0
42.88,398443.8,0.569,1.428,245,-0.98,0.55,22.0,16.97,36.7,22.8,57.4,1.2,1,2,4,1.6,2,1,2,4.8,1,0,2
37.49,364875.1,0.557,1.428,245,0.87,1.9,60.6,24.54,39.2,27.7,48.9,4.9,3,3,5,0.5,2,0,2,4.6,1,1,0
37.15,452761.1,0.606,1.425,245,0.02,0.97,69.9,23.48,6.1,23.1,75.0,4.3,2,2,4,1.9,3,1,2,4.3,0,1,1
39.23,536073.3,0.573,1.428,245,0.6,1.37,101.5,20.59,5.0,19.9,53.7,1.8,1,1,4,32.4,2,1,2,5.0,1,1,0
40.12,367785.4,0.608,1.435,495,-3.55,1.43,95.9,23.74,6.7,27.1,55.3,8.3,2,4,4,5.0,1,1,1,5.0,1,1,0
36.86,295956.8,0.571,1.47,245,-0.46,1.61,68.6,21.33,9.1,22.1,53.9,0.6,2,2,1,3.9,2,1,2,5.0,1,1,1
39.03,483086.8,0.558,1.401,995,2.37,0.49,90.9,23.71,5.3,27.3,50.8,1.2,2,2,4,0.5,2,1,1,4.8,1,1,0
33.5,487248.4,0.56,1.429,245,-0.3,0.61,90.2,29.34,5.8,19.4,55.5,1.1,1,1,3,14.1,2,1,1,5.0,1,1,2
42.59,657358.4,0.538,1.462,495,-0.43,1.54,29.5,26.7,5.4,24.6,45.2,0.6,2,3,4,2.3,3,1,3,5.0,1,1,1
45.4,321777.2,0.593,1.454,995,1.29,0.97,47.9,19.75,37.5,21.8,36.5,3.9,2,3,2,4.9,2,1,1,5.0,1,1,2
36.11,439228.0,0.602,1.434,495,-2.98,1.6,88.2,24.12,37.9,19.8,63.0,8.0,1,1,4,8.3,2,0,2,4.4,1,1,0
30.06,424005.8,0.596,1.411,245,-0.89,1.04,20.4,12.92,58.7,23.1,50.7,1.6,1,2,3,2.5,2,1,2,4.5,1,0,2
35.31,429892.9,0.629,1.418,995,-1.13,0.84,23.7,23.31,42.4,22.8,65.3,2.2,1,1,5,0.5,2,1,1,3.2,1,1,0
38.76,711946.4,0.595,1.443,245,1.28,1.13,100.4,21.35,12.3,23.0,43.8,0.3,2,2,3,13.6,3,1,2,4.9,1,1,0
32.69,670605.0,0.636,1.436,995,0.07,0.41,76.6,24.13,15.5,26.3,58.2,6.6,2,3,3,4.2,2,1,2,4.7,1,1,0
34.75,405255.3,0.594,1.383,995,-3.06,0.7,88.3,23.23,62.9,24.5,40.4,1.6,1,1,3,14.4,2,1,2,4.6,1,1,0
41.5,754332.4,0.615,1.424,995,1.35,0.61,119.9,21.35,7.9,22.1,69.9,1.8,3,5,3,2.3,3,1,3,3.0,0,1,0
39.9,500602.8,0.669,1.391,495,0.68,1.39,72.6,28.06,49.3,27.9,60.3,3.1,3,5,4,48.1,2,1,2,4.0,1,1,1
40.25,743238.0,0.595,1.393,245,-0.28,1.85,64.0,30.81,16.9,24.1,68.4,9.7,2,3,1,5.3,2,1,2,3.9,0,1,1
34.83,606160.5,0.59,1.43,495,0.69,0.61,108.7,23.03,18.3,20.4,57.9,1.5,3,4,2,13.3,3,1,1,4.7,1,1,1
43.97,910288.4,0.548,1.419,495,2.87,1.94,68.4,36.62,6.0,26.6,56.8,17.3,2,2,5,2.1,1,1,1,4.1,1,0,2
33.68,390471.8,0.602,1.436,245,0.75,1.94,91.4,25.16,6.9,25.4,44.3,2.7,2,3,1,2.2,2,1,3,5.0,1,1,1
43.69,411817.0,0.553,1.431,245,-0.49,0.15,42.2,20.31,27.7,22.2,54.9,0.3,3,5,5,19.3,2,1,1,5.0,1,1,1
38.7,305743.9,0.602,1.425,245,0.58,0.4,42.6,28.16,8.1,21.1,65.3,2.4,3,5,1,0.8,3,1,2,3.0,0,1,1
32.11,557425.1,0.599,1.38,995,0.41,0.37,64.2,39.59,11.1,30.7,61.5,0.0,3,5,3,0.5,1,1,3,4.1,1,0,2
34.79,433992.3,0.57,1.426,495,2.7,0.9,76.2,27.3,9.7,23.7,65.4,6.4,3,5,2,11.1,2,1,1,3.4,1,1,1
36.09,756772.6,0.573,1.385,495,-0.68,0.32,45.2,29.63,43.0,26.0,79.4,2.7,1,2,4,1.2,3,0,2,2.8,0,1,1
39.02,381502.1,0.619,1.416,495,-1.86,0.32,60.6,39.68,30.6,19.8,59.4,3.5,2,3,3,1.5,3,1,2,4.8,1,0,2
39.71,453325.0,0.576,1.418,495,1.13,1.04,109.5,28.27,9.7,25.6,53.0,6.8,2,4,2,20.0,2,1,1,4.8,1,1,1
31.07,384815.5,0.588,1.427,495,-2.59,0.76,94.6,26.36,11.1,24.3,48.4,0.4,1,2,3,0.7,2,0,2,5.0,1,1,1
38.44,303100.4,0.663,1.423,995,-0.61,1.42,21.6,28.92,12.0,24.8,34.2,0.2,3,3,4,16.3,2,1,2,4.4,1,1,0
42.45,588110.0,0.548,1.401,245,2.09,0.97,101.8,25.4,21.2,25.3,62.6,5.2,3,4,2,5.8,2,1,1,4.5,1,1,2
44.63,319445.7,0.592,1.402,995,-4.53,1.87,54.5,23.9,7.6,25.0,55.9,0.0,1,3,2,1.2,1,1,2,5.0,1,1,2
36.96,303250.3,0.579,1.379,995,1.61,0.1,65.0,26.28,112.1,26.6,44.9,0.5,1,1,4,23.6,1,1,1,3.6,1,1,0
32.78,558781.9,0.549,1.404,995,0.21,0.2,55.5,24.88,14.9,17.0,55.3,3.9,3,5,4,19.0,3,1,2,4.6,1,1,0
30.58,285802.9,0.592,1.414,245,0.34,1.1,25.7,23.82,14.4,22.0,68.6,4.0,2,2,3,14.9,1,0,1,3.2,0,1,1
35.55,422419.6,0.595,1.452,245,0.91,0.47,41.4,22.21,21.9,25.1,53.5,0.3,2,4,5,1.7,2,1,2,4.3,1,1,0
28.29,682011.0,0.556,1.424,495,-0.38,0.24,110.9,15.54,12.5,23.9,58.1,9.5,2,2,4,4.2,2,1,1,4.4,1,0,2
39.35,401453.1,0.626,1.4,995,-0.57,1.89,113.2,15.12,8.5,20.1,51.0,2.1,2,4,5,4.8,2,1,2,4.6,1,0,2
29.9,331346.2,0.624,1.423,495,0.54,0.89,117.8,21.99,10.2,21.1,50.8,7.3,2,3,5,0.5,2,1,2,4.4,1,1,1
36.59,425273.8,0.64,1.435,245,-0.94,0.91,32.9,23.61,49.2,17.1,52.3,4.4,2,2,4,20.2,2,1,1,5.0,1,1,0
38.53,556300.8,0.591,1.363,245,-3.87,1.66,56.0,34.8,23.2,24.4,55.4,1.5,3,4,3,1.4,1,1,1,5.0,1,1,0
31.35,471715.4,0.581,1.418,245,-3.29,1.52,102.8,33.0,27.1,25.2,55.6,5.4,3,4,3,6.4,2,1,1,4.9,1,1,0
36.43,843188.2,0.626,1.41,245,1.01,0.17,38.7,27.52,11.5,24.9,61.1,0.0,1,1,3,16.4,2,1,1,3.9,1,1,0
35.47,578209.5,0.593,1.402,995,1.05,1.92,99.3,26.05,18.9,21.3,54.9,12.5,1,1,4,3.3,3,1,2,5.0,1,1,0
36.21,818032.5,0.531,1.438,495,0.97,1.33,35.1,24.14,24.6,24.9,65.5,2.2,3,4,3,1.3,2,1,1,3.1,1,1,0
37.13,604521.4,0.633,1.429,245,-1.29,1.05,35.5,25.46,8.0,20.1,35.4,2.9,1,1,2,8.5,1,1,2,4.6,1,1,1
41.87,405091.4,0.518,1.439,495,2.31,0.26,29.1,26.12,7.0,24.5,66.2,5.4,1,1,5,0.1,2,1,3,2.7,0,1,1
38.94,445779.9,0.649,1.403,245,-1.02,1.08,110.8,23.11,29.5,23.6,50.9,2.5,3,3,4,21.2,3,1,1,4.9,1,1,0
35.7,479122.9,0.605,1.455,495,-1.37,1.02,93.9,26.64,21.6,25.9,58.5,0.9,3,5,4,2.5,1,1,2,4.8,1,1,0
35.72,578406.5,0.602,1.441,495,1.14,1.49,61.1,16.29,19.9,26.2,65.1,0.2,3,4,3,2.8,2,1,2,3.1,1,0,2
33.31,397764.6,0.62,1.383,245,0.01,1.58,97.1,16.35,15.5,27.0,66.8,2.0,2,2,4,7.8,2,0,2,3.2,1,0,2
37.23,351135.2,0.583,1.4,245,1.88,0.97,37.1,22.51,9.7,19.5,55.3,2.8,2,3,5,24.3,2,1,1,4.8,1,1,0
34.02,468122.6,0.599,1.403,495,-0.11,0.74,67.3,29.87,21.3,23.9,67.8,7.1,1,1,3,0.5,2,1,2,4.1,1,1,0
38.8,454358.9,0.617,1.377,995,-4.87,0.46,87.0,23.15,5.0,21.7,42.9,2.0,1,1,5,10.3,1,0,1,4.8,1,1,0
39.86,502614.1,0.631,1.421,245,0.2,1.9,75.5,26.44,16.9,22.7,56.8,2.7,3,4,3,33.9,3,1,2,4.7,1,1,0
42.95,352667.7,0.596,1.411,245,-1.99,0.39,64.2,22.45,27.1,20.2,57.6,1.2,3,3,4,5.2,3,1,2,5.0,1,1,1
41.89,516650.7,0.574,1.388,995,0.69,0.25,119.3,25.15,31.6,19.5,45.7,0.4,1,2,4,15.0,1,1,2,4.1,1,1,0
39.04,404481.3,0.609,1.41,995,1.53,1.71,68.0,14.13,12.0,31.1,52.7,0.6,3,4,4,1.0,3,1,1,3.5,1,0,2
39.74,471033.2,0.575,1.452,245,0.9,0.28,117.6,22.02,20.7,18.0,37.4,0.2,1,2,4,2.9,2,0,2,5.0,1,1,0
30.13,342603.6,0.62,1.393,245,0.29,0.91,64.7,19.02,9.4,22.8,68.1,2.4,1,1,2,12.5,3,1,2,3.5,0,1,1
27.15,449044.0,0.581,1.44,245,1.84,0.97,39.3,24.21,8.9,23.7,48.5,3.1,1,1,4,4.2,2,1,2,4.8,1,1,1
33.73,541207.3,0.528,1.443,245,1.47,2.0,80.8,26.37,12.8,20.8,46.7,2.0,1,3,3,4.7,2,1,2,5.0,1,1,0
43.29,497043.5,0.633,1.414,495,-3.78,0.12,107.2,15.05,7.2,21.0,53.2,1.6,2,3,5,9.1,2,1,1,3.6,1,0,2
40.19,280166.1,0.619,1.393,495,0.24,1.9,61.5,19.69,10.9,25.0,56.7,5.4,3,3,2,9.4,2,1,1,5.0,1,1,2
34.29,645214.0,0.638,1.429,495,1.33,1.71,62.8,21.29,32.1,18.6,53.5,2.0,1,1,4,17.8,2,1,2,4.4,1,1,0
43.11,422374.6,0.599,1.426,245,0.21,0.3,77.3,28.03,15.4,23.3,66.6,0.9,2,3,3,8.5,2,1,1,2.9,0,1,1
33.16,663526.1,0.586,1.434,495,-2.74,1.91,82.2,19.83,13.0,26.2,78.1,4.0,1,2,4,12.2,1,1,1,3.2,0,1,0
39.64,479409.5,0.586,1.438,245,-1.35,0.43,98.7,30.39,10.6,24.3,60.6,6.4,3,4,3,21.9,2,1,1,5.0,1,1,0
35.5,482894.8,0.613,1.419,245,3.28,1.41,71.3,28.95,13.7,23.9,57.5,2.0,2,2,5,11.0,1,0,1,5.0,1,1,0
29.14,412105.9,0.551,1.407,495,0.45,0.48,52.0,34.82,18.4,25.5,63.2,3.8,2,3,4,0.4,1,1,2,3.9,1,1,1
37.02,742905.8,0.631,1.408,245,0.68,1.17,108.3,33.83,17.9,31.4,55.5,2.9,2,2,4,13.8,3,1,1,4.5,1,1,0
32.95,525572.5,0.636,1.412,495,0.72,0.29,23.4,19.96,17.3,25.9,61.5,1.2,1,1,1,1.0,3,1,1,5.0,1,1,2
30.49,532025.5,0.599,1.43,495,0.28,1.52,110.3,28.52,16.7,22.6,43.6,0.0,3,3,4,24.6,1,1,2,5.0,1,1,0
38.1,445100.4,0.582,1.414,495,3.95,1.79,71.9,23.87,17.5,23.7,55.9,2.8,2,2,2,8.6,1,1,2,5.0,1,1,1
38.47,560040.6,0.63,1.407,495,-1.66,0.67,112.4,28.76,19.9,20.6,51.0,8.1,2,2,4,3.4,3,1,1,5.0,1,1,0
45.11,491974.9,0.556,1.402,495,0.53,0.49,34.7,25.78,34.1,20.0,60.7,0.9,3,4,4,3.8,3,1,3,5.0,1,1,1
30.39,425655.0,0.556,1.407,995,3.57,0.79,78.7,32.49,6.1,26.6,59.6,2.3,2,3,5,26.5,2,1,1,4.6,1,1,0
37.79,458107.7,0.601,1.404,995,-0.16,0.88,43.7,31.19,24.6,24.2,47.0,5.5,1,2,1,24.4,2,0,2,5.0,1,1,1
35.0,523145.6,0.568,1.45,995,-0.79,0.88,49.0,25.2,12.7,22.2,43.5,1.7,3,3,4,15.0,3,1,1,4.8,1,1,0
31.12,443502.0,0.559,1.379,995,0.02,1.17,69.4,20.45,24.7,24.7,53.5,2.0,2,4,3,0.8,3,1,1,4.3,1,1,0
29.92,680946.4,0.58,1.412,995,4.84,0.69,49.2,27.9,24.8,26.1,73.3,2.8,3,4,3,10.3,1,0,1,2.5,0,1,2
41.12,319426.8,0.608,1.399,495,0.79,0.72,117.7,22.65,5.6,20.1,53.6,1.3,3,5,1,8.3,1,1,1,5.0,1,1,1
41.45,665687.6,0.621,1.431,245,-1.16,0.6,118.2,28.22,9.0,23.5,53.0,0.1,1,3,3,5.3,2,0,1,4.8,1,1,1
42.56,594274.7,0.544,1.405,245,1.38,0.67,86.0,22.6,7.2,24.7,57.6,2.8,2,4,4,3.0,2,1,2,4.6,1,1,1
41.29,404557.5,0.596,1.407,495,0.24,1.7,59.9,12.66,10.4,24.7,48.7,3.9,1,1,3,8.9,2,1,2,5.0,1,0,2
30.77,752268.7,0.61,1.42,245,-0.58,1.64,73.3,29.39,5.8,25.1,54.3,6.6,1,2,4,3.2,3,1,2,4.5,1,1,0
36.39,529858.7,0.62,1.402,245,3.71,1.32,52.8,15.04,46.7,19.2,61.7,0.7,1,1,4,0.7,1,1,1,4.7,1,0,2
37.99,826184.3,0.637,1.403,995,-0.1,1.11,61.6,29.78,33.5,20.8,47.3,1.4,1,1,2,3.9,3,1,1,4.8,1,1,1
38.26,588160.9,0.621,1.425,995,-0.1,1.93,62.8,27.51,22.3,19.4,57.9,0.1,2,2,4,3.8,3,1,2,4.8,1,1,0
34.0,447922.9,0.621,1.405,995,8.05,1.17,67.5,29.04,28.5,21.8,47.2,2.9,2,3,5,5.4,1,1,1,5.0,1,1,1
38.75,666148.7,0.579,1.389,245,-1.02,0.47,109.6,26.58,15.4,21.2,62.3,2.0,2,3,5,1.0,2,0,2,5.0,1,1,0
32.5,581940.7,0.622,1.391,995,-0.32,0.1,42.4,28.61,11.2,23.0,57.6,0.7,1,1,1,1.5,3,1,1,4.7,1,1,1
32.13,824743.9,0.623,1.451,495,1.99,1.87,31.1,32.05,13.6,21.5,54.5,6.2,3,5,5,22.8,1,1,1,5.0,1,1,0
38.24,516182.9,0.586,1.423,245,-1.5,1.21,117.5,22.61,26.5,23.8,35.5,1.2,1,1,3,24.0,2,0,1,5.0,1,1,0
40.47,357400.4,0.642,1.409,245,0.15,1.6,100.3,20.5,9.3,25.0,52.7,1.2,1,1,3,23.2,2,0,1,4.9,1,1,1
35.15,1022611.3,0.599,1.442,995,0.94,0.41,23.4,29.06,7.3,19.5,59.0,0.8,1,2,4,15.9,1,0,3,5.0,1,1,0
38.2,755814.9,0.59,1.416,495,-0.72,1.68,115.6,20.12,5.3,25.0,74.2,0.8,1,1,4,49.8,3,1,2,2.1,0,1,1
40.78,548767.0,0.579,1.411,995,-1.59,1.13,91.2,19.73,8.6,26.6,65.2,2.5,3,3,2,5.6,1,0,2,3.2,1,1,2
33.05,343983.6,0.608,1.425,995,-0.06,1.03,96.3,22.69,38.4,26.0,76.7,24.4,3,4,1,9.8,3,1,2,1.0,0,1,2
36.84,395064.7,0.627,1.447,245,-2.77,0.63,70.0,23.6,7.6,19.2,43.4,2.7,1,2,4,11.1,2,1,1,5.0,1,1,0
36.84,281018.5,0.631,1.432,245,-0.93,0.7,105.0,22.94,31.8,26.0,52.6,0.2,1,1,3,58.5,2,1,2,5.0,1,1,0
35.66,608649.7,0.615,1.401,995,3.38,1.82,61.9,22.68,27.9,25.7,44.3,0.0,3,3,4,0.5,2,1,1,4.3,1,1,0
35.65,643451.4,0.636,1.417,245,-0.55,1.13,46.0,17.28,68.0,24.7,44.3,1.0,3,4,4,25.0,1,1,2,4.6,1,0,2
35.37,566438.8,0.626,1.437,245,1.74,1.91,30.1,27.57,10.5,24.3,56.0,0.3,1,1,2,23.8,3,1,2,5.0,1,1,1
